location_id,time,weather_code,rain_sum,temperature_2m_max,temperature_2m_min,wind_speed_10m_max,et0_fao_evapotranspiration,precipitation_sum,daylight_duration,wind_gusts_10m_max,wind_direction_10m_dominant,showers_sum,location_id_effettivo,time,weather_code_effettivo,temperature_2m_max_effettivo,temperature_2m_min_effettivo,rain_sum_effettivo,precipitation_sum_effettivo,wind_speed_10m_max_effettivo,et0_fao_evapotranspiration_effettivo,daylight_duration_effettivo,wind_gusts_10m_max_effettivo,wind_direction_10m_dominant_effettivo
4,2025-03-23,80,1.50,16.0,9.4,21.1,2.00,1.70,44358.14,43.9,86,0.10,4,2025-03-23,80,13.2,8.8,1.50,1.70,26.1,0.90,44358.14,44.3,101
4,2025-03-24,95,0.00,16.0,7.3,4.8,2.23,1.80,44547.92,16.2,264,1.80,4,2025-03-24,80,16.1,7.8,0.00,0.00,10.3,2.01,44547.92,16.2,280
4,2025-03-25,61,2.20,17.9,4.8,12.7,2.44,2.20,44736.93,29.2,85,0.00,4,2025-03-25,80,17.2,6.3,0.10,0.10,9.7,2.67,44736.93,18.4,320
4,2025-03-26,61,4.40,15.6,8.6,17.5,1.89,4.50,44925.06,32.4,128,0.40,4,2025-03-26,45,18.4,6.2,0.00,0.00,9.7,2.61,44925.06,23.0,345
4,2025-03-27,2,0.00,19.1,6.7,9.7,3.04,0.20,45112.18,16.2,238,0.20,4,2025-03-27,45,19.0,6.5,0.00,0.00,17.8,2.92,45112.18,34.9,201
5,2025-03-21,3,0.00,18.5,8.0,9.4,2.03,0.00,43955.31,22.7,176,0.00,5,2025-03-21,3,18.3,8.0,0.00,0.00,9.4,1.99,43955.31,22.7,182
5,2025-03-22,63,4.20,17.0,11.1,10.8,1.33,4.20,44137.90,23.8,110,0.00,5,2025-03-22,61,14.6,10.9,3.00,3.30,9.4,0.91,44137.90,20.2,70
5,2025-03-23,80,10.90,17.2,11.7,10.9,2.29,11.00,44319.99,24.1,269,0.00,5,2025-03-23,61,18.6,10.9,1.10,1.10,8.0,2.47,44319.99,19.1,330
5,2025-03-24,80,0.00,16.4,8.3,3.9,1.87,2.30,44501.46,17.6,103,2.30,5,2025-03-24,3,17.9,8.5,0.00,0.00,7.1,2.69,44501.46,16.6,213
5,2025-03-25,80,4.20,17.1,8.2,25.2,2.15,5.30,44682.20,54.0,47,0.80,5,2025-03-25,45,17.1,8.6,0.00,0.00,5.9,2.66,44682.20,13.3,180
5,2025-03-26,80,0.00,14.8,10.4,17.6,1.47,1.30,44862.09,36.7,26,1.30,5,2025-03-26,2,18.1,7.2,0.00,0.00,17.9,3.10,44862.09,40.0,43
